'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'37,'Footer 36,"'© 2024 American Medical Association. All rights reserved.",'349,'85.54687500
'38,'Text 251,"'eFigure 6. Clinical Remission per Adapted Mayo Score by Subgroup Analysis at Week 12 of Induction and Week 52 of Maintenance",'350,'84.86328125
'38,'Section header 15,"'A) Clinical Remission per Adapted Mayo Score at Week 12 of INSPIRE",'351,'38.96484375
'38,'Text 252,"'Risankizumab 1200 mg IV versus Placebo IV",'352,'78.61328125
'38,'Table 2,"",'353,'61.62109375
'38,'Text 253,"'Adjusted treatment difference (%, 95% CI)",'354,'56.39648438
'38,'Footer 37,"'© 2024 American Medical Association. All rights reserved.",'355,'70.80078125
'39,'Section header 16,"'A) Clinical Remission per Adapted Mayo Score at Week 12 of INSPIRE (continued)",'356,'42.16308594
'39,'Figure 26,"",'357,'41.96777344
'39,'Text 254,"'Adjusted treatment difference (%, 95% CI)",'358,'38.72070313
'39,'Footer 38,"'© 2024 American Medical Association. All rights reserved.",'359,'89.55078125
'40,'Section header 17,"'B) Clinical Remission per Adapted Mayo Score at Week 52 of COMMAND",'360,'45.80078125
'40,'Figure 27,"",'361,'73.19335938
'40,'Text 255,"'Adjusted treatment difference (%, 95% CI)",'362,'82.37304688
'40,'Footer 39,"'© 2024 American Medical Association. All rights reserved.",'363,'72.31445313
'41,'Title 8,"'B) Clinical Remission per Adapted Mayo Score at Week 52 of COMMAND (continued)",'364,'44.75097656
'41,'Text 256,"'Risankizumab 180 mg SC versus Placebo (Withdrawal) SC",'365,'57.47070313
'41,'Text 257,"'Percentage of Patients",'366,'99.80468750
'41,'Figure 28,"",'367,'73.48632813
'41,'Text 258,"'Adjusted treatment difference (%, 95% CI)",'368,'73.24218750
'41,'Footer 40,"'© 2024 American Medical Association. All rights reserved.",'369,'85.00976563
'42,'Title 9,"'C) Clinical Remission per Adapted Mayo Score at Week 52 of COMMAND",'370,'31.39648438
'42,'Text 259,"'Risankizumab 360 mg SC versus Placebo (Withdrawal) SC",'371,'31.66503906
'42,'Text 260,"'Percentage of Patients",'372,'32.29980469
'42,'Figure 29,"",'373,'65.03906250
'42,'Text 261,"'Adjusted treatment difference (%, 95% CI)",'374,'53.90625000
'42,'Footer 41,"'© 2024 American Medical Association. All rights reserved.",'375,'82.95898438
'43,'Title 10,"'C) Clinical Remission per Adapted Mayo Score at Week 52 of COMMAND (continued)",'376,'42.91992188
'43,'Text 262,"'Risankizumab 360 mg SC versus Placebo (Withdrawal) SC",'377,'43.01757813
'43,'Figure 30,"",'378,'83.59375000
'43,'Text 263,"'Adjusted treatment difference (%, 95% CI)",'379,'47.55859375
'43,'Footer 42,"'© 2024 American Medical Association. All rights reserved.",'380,'83.39843750
'44,'Text 264,"'eTable 1. Baseline Characteristics for the Dose-Ranging Phase 2b Induction Substudy",'381,'57.37304688
'44,'Table 3,"",'382,'98.09570313
'44,'Text 265,"'a For race, the Other category included patients who were Asian or Black/African American. No identified as being American Indian/Alaska Native, Native Hawaiian/Other Pacific Islander, or multiple races. CRP, C-reactive protein; IV, intravenous; SD, standard deviation; TNF, tumor necrosis factor.",'383,'43.31054688
'44,'Footer 43,"'© 2024 American Medical Association. All rights reserved.",'384,'90.82031250
'45,'Text 266,"'eTable 2. Treatment-Emergent Adverse Events From the Dose-Ranging Phase 2b Induction Substudy",'385,'36.15722656
'45,'Table 4,"",'386,'98.63281250
'45,'Text 267,"'a As assessed by study investigator. b No active tuberculosis, serious anaphylactic reactions, adjudicated anaphylactic reactions, or adjudicated MACE were reported in any treatment group.",'387,'50.09765625
'45,'Text 268,"'AE, adverse event; IV, intravenous; MACE, major adverse cardiovascular event; NMSC, nonmelanoma skin cancer.",'388,'86.96289063
'45,'Footer 44,"'© 2024 American Medical Association. All rights reserved.",'389,'83.83789063
'46,'Title 11,"'eTable 3. Additional Baseline Characteristics and Demographics",'390,'41.30859375
'46,'Table 5,"",'391,'92.48046875
'46,'Footer 45,"'© 2024 American Medical Association. All rights reserved.",'392,'90.47851563
'47,'Text 269,"'eTable 3. Additional Baseline Characteristics and Demographics (continued)",'393,'34.37500000
'47,'Table 6,"",'394,'98.09570313
'47,'Footer 46,"'© 2024 American Medical Association. All rights reserved.",'395,'64.40429688
'48,'Text 270,"'Data are presented are reported on nonmissing data and reported as n (%) unless stated otherwise. Reported here are baseline demographics and disease characteristics at week 0 of induction and maintenance for the primary efficacy populations of each study, which included all randomized patients who received at least one dose of study drug during the 12-week induction or 52-week maintenance studies after receiving risankizumab IV for one period of 12 weeks in the induction study. Additional baseline demographics and disease characteristics are presented in Table 1.",'396,'98.29101563
'48,'Text 271,"'Also included are baseline characteristics and disease demographics for all patients who received risankizumab 1200 mg or placebo IV during induction and were randomized to maintenance. Treatment groups were named according to treatments received during induction/maintenance.",'397,'97.21679688
'48,'Text 272,"'For the patient-reported outcomes, the baseline disease characteristics were assessed in patients with disease symptoms at baseline of induction.",'398,'92.91992188
'48,'Text 273,"'ᵇThe body mass index is the weight in kilograms divided by the square of the height in meters.",'399,'87.98828125
'48,'Text 274,"'°The multiple race category includes participants who responded to 2 or more categories. For reporting race, patients were asked to respond to closed category questions, with the option of multiple selection.",'400,'50.58593750
'48,'Text 275,"'ᵈAdapted Mayo score (score range 0-9): RBS, 0-3; SFS, 0-3; endoscopy score (0-3).",'401,'78.41796875
'48,'Text 276,"'Endoscopy score was evaluated for each observed segment of the colon (rectum, sigmoid, descending colon, transverse colon, ascending colon/cecum) using a 4-point scale, with a higher score indicating more severe disease.",'402,'92.87109375
'48,'Text 277,"'The reference range for C-reactive protein is 0 to 10 mg per liter.",'403,'87.59765625
'48,'Text 278,"'⁹The reference value for fecal calprotectin is less than 50 µg per gram.",'404,'83.98437500
'48,'Text 279,"'hAdvanced therapies included infliximab, adalimumab, golimumab, vedolizumab, tofacitinib, filgotinib, upadacitinib, and/or ozanimod. Inadequate response was defined as an inability to respond or unacceptable side effects to therapy.",'405,'94.58007813
'48,'Text 280,"'IV, intravenous; SC, subcutaneous; SD, standard deviation; TNF, tumor necrosis factor.",'406,'88.91601563
'48,'Footer 47,"'© 2024 American Medical Association. All rights reserved.",'407,'88.62304688
'49,'Text 281,"'eTable 4. Primary and Secondary Endpoints at Week 52 of Maintenance for All Patients Who Responded to 12-Week Risankizumab 1200 mg",'408,'41.01562500
'49,'Text 282,"'Induction Therapy and Were Randomized to Maintenance",'409,'52.34375000
'49,'Table 7,"",'410,'96.58203125
'49,'Footer 48,"'© 2024 American Medical Association. All rights reserved.",'411,'72.85156250
'50,'Text 283,"'Reported here are maintenance efficacy outcomes at week 52 for all patients who received risankizumab 1200 mg or placebo during induction and were randomized to maintenance. Treatment groups were named according to treatments received during induction/maintenance. Analyses for placebo IV/placebo SC were not adjusted for multiplicity. Results for categorical endpoints (except occurrence of ulcerative colitis-related hospitalization) were based on nonresponder imputation incorporating multiple imputation to handle missing data due to logistic restrictions (COVID- 19 or the geopolitical conflict in Ukraine and surrounding impacted regions) (NRI-MI). Results for continuous endpoints were based on RTB-MI. Between-group difference and 95% Cls were calculated using Mantel-Haenszel common rate difference with NRI-MI for categorical endpoints (Normal approximation to binomial distribution for occurrence of hospitalization) and ANCOVA/MMRM with RTB-MI for continuous endpoints.* P≤ .05; ** P ≤ .01; *** P ≤ .001 versus risankizumab 1200 mg IV/placebo SC.",'412,'56.59179688
'50,'Text 284,"'ᵃAdjusted treatment differences refer to the difference between risankizumab 1200 mg IV/risankizumab 180 mg or risankizumab 360 mg VS. risankizumab 1200 mg IV/placebo SC.",'413,'69.09179688
'50,'Text 285,"'ANCOVA, analysis of covariance; CI, confidence interval; COVID-19, coronavirus disease 2019; FACIT-F, Functional Assessment of Chronic Illness Therapy-Fatigue; LS, least-square; IBDQ, Inflammatory Bowel Disease Questionnaire; IV, intravenous; MMRM, mixed-effect model repeated measures; NRI-MI, nonresponder multiple imputation; PY, patient-years; RTB-MI, return-to-baseline multiple imputation; SC, subcutaneous; UC, ulcerative colitis.",'414,'91.89453125
'50,'Footer 49,"'© 2024 American Medical Association. All rights reserved.",'415,'89.59960938
'51,'Text 286,"'eTable 5. Prespecified Primary and Secondary Endpoints in Non-Advanced and Advanced Therapy-Inadequate Response Patients in the Phase 3",'416,'37.62207031
'51,'Text 287,"'Induction and Maintenance Studies",'417,'47.65625000
'51,'Table 8,"",'418,'96.38671875
'51,'Footer 50,"'© 2024 American Medical Association. All rights reserved.",'419,'73.24218750
'52,'Title 12,"'eTable 5. Prespecified Primary and Secondary Endpoints in Non-Advanced and Advanced Therapy-Inadequate Response Patents in the Phase 3",'420,'28.68652344
'52,'Text 288,"'Induction and Maintenance Studies (continued)",'421,'40.91796875
'52,'Table 9,"",'422,'95.94726563
'52,'Footer 51,"'© 2024 American Medical Association. All rights reserved.",'423,'76.70898438
'53,'Title 13,"'eTable 5. Prespecified Primary and Secondary Endpoints in Non-Advanced and Advanced Therapy-Inadequate Response Patients in the Phase 3",'424,'25.53710938
'53,'Text 289,"'Induction and Maintenance Studies (continued)",'425,'44.26269531
'53,'Table 10,"",'426,'96.19140625
'53,'Footer 52,"'© 2024 American Medical Association. All rights reserved.",'427,'73.09570313
'54,'Text 290,"'For induction, the patient population included all randomized patients who received at least one dose of study drug during the first 12-week study period. For maintenance, the patient population included all randomized patients who received at least one dose of study drug after receiving IV risankizumab (either 600 mg, 1200 mg, or 1800 mg) for 12 weeks in the phase 2b/3 induction studies, including those that went through the extended treatment period. Results for categorical endpoints were based on NRI-MI to handle missing data due to logistic restrictions (COVID-19 or the geopolitical conflict in Ukraine and surrounding impacted regions), apart from UC-related hospitalizations. Results for continuous endpoints were based on RTB-MI. Point estimate and 95% CI for treatment differences were based on normal approximation to binomial distribution with NRI-MI for categorical endpoints (normal approximation to Poisson distribution for UC-related hospitalization) and ANCOVA/MMRM with RTB-MI for continuous endpoints. Type I error was not controlled for in this analysis.",'428,'95.11718750
'54,'Text 291,"'ANCOVA, analysis of covariance; CI, confidence interval; COVID-19, coronavirus 2019; MMRM, mixed-effect model repeated measures; NRI-MI, nonresponder multiple imputation; RTB-MI, return-to-baseline-multiple imputation; UC, ulcerative colitis.",'429,'73.92578125
'54,'Footer 53,"'© 2024 American Medical Association. All rights reserved.",'430,'81.98242188
'55,'Text 292,"'eTable 6. Sensitivity Analysis for the Primary Endpoint Clinical Remission per Adapted Mayo Score for the",'431,'71.28906250
'55,'Text 293,"'Phase 3 Induction and Maintenance Studies",'432,'67.13867188
'55,'Table 11,"",'433,'90.96679688
'55,'Table 12,"",'434,'93.45703125
'55,'Text 294,"'Clinical remission per Adapted Mayo score was defined as SFS ≤ 1, and not greater than baseline, RBS = 0, and endoscopic subscore ≤ 1 without the evidence of friability.",'435,'71.24023438
'55,'Text 295,"'95% Cls for response rates were the synthetic result based on Student's t-distribution from PROC",'436,'58.20312500
'55,'Text 296,"'MIANALYZE procedure if there was missing data due to logistic restrictions (COVID-19 or the geopolitical",'437,'52.53906250
'55,'Text 297,"'conflict in Ukraine and surrounding impacted regions) or is based on the normal approximation to the binomial distribution if there was no missing data due to logistic restrictions. Across the strata, P values were calculated according to the Cochran-Mantel-Haenszel test adjusted for strata. 95% Cls for response rates were on the normal approximation to the binomial distribution. ** .01; *** ≤ .001 versus placebo IV or placebo (withdrawal) SC.",'438,'44.36035156
'55,'Text 298,"'CI, confidence interval; COVID-19, coronavirus disease 2019; IV, intravenous; NRI-MI, nonresponder multiple imputation; RBS, rectal bleeding score; SC, subcutaneous.",'439,'80.17578125
'55,'Footer 54,"'© 2024 American Medical Association. All rights reserved.",'440,'87.50000000
'56,'Title 14,"'eTable 7. Exposure-Adjusted Event Rates for Treatment-Emergent Adverse Events Through Week 12 of",'441,'41.01562500
'56,'Text 299,"'Induction and Week 52 of Maintenance",'442,'42.62695313
'56,'Table 13,"",'443,'96.77734375
'56,'Text 300,"'ᵃOne patient was randomized to risankizumab 1200 mg and treated with placebo. Patients are reported here according to the treatment they received. ᵇAs assessed by study investigator. ᶜSerious AEs were defined as an AE that met any of the following criteria: death of patient, life-threatening, hospitalization or prolongation of hospitalization, congenital anomaly, persistent or significant disability/incapacity, important medical event requiring medical or surgical intervention to prevent serious outcome. Severe AEs were classified as an AE of Grade 3 or above based on CTCAE V 4.03 guidelines.",'444,'44.84863281
'56,'Footer 55,"'© 2024 American Medical Association. All rights reserved.",'445,'64.16015625
'57,'Text 301,"'ᵈThe most frequent adverse events were ordered by decreasing frequency in the risankizumab 1200 mg group. events identified with Hypersensitivity SMQ, a broader medical concept than injection and infusion site reactions, includes injection and infusion site-related terms, ie, injection site rash, which overlap with the term injection site reaction CMQ. Hypersensitivity includes both nonserious and serious hypersensitivity reaction events.",'446,'71.63085938
'57,'Text 302,"'Hepatic events were identified with search criteria covering the standardized MedDRA Queries of hepatic failure, fibrosis and cirrhosis and other liver damage-related conditions, hepatitis, noninfectious, cholestasis and jaundice of hepatic origin, liver-related investigations, signs and symptoms, and liver-related coagulation and bleeding disturbances.",'447,'86.57226563
'57,'Text 303,"'CMQ, customized MedDRA Queries; COVID-19, coronavirus 2019; customized MedDRA Queries; IV, intravenous; SMQ, standardized MedDRA Queries; TEAE, treatment-emergent adverse event.",'448,'72.80273438
'57,'Footer 56,"'© 2024 American Medical Association. All rights reserved.",'449,'91.89453125
'58,'Text 304,"'eTable 8. Patients Meeting Criteria for Liver-Related Elevations During Induction and Maintenance",'450,'59.27734375
'58,'Table 14,"",'451,'94.77539063
'58,'Table 15,"",'452,'88.47656250
'58,'Text 305,"'ALT, alanine aminotransferase; AST, aspartate aminotransferase; TBL, total bilirubin; ULN, upper limit of normal.",'453,'91.40625000
'58,'Footer 57,"'© 2024 American Medical Association. All rights reserved.",'454,'91.65039063
'59,'Title 15,"'eTable 9. Summary of Mean Change From Baseline in Key Chemistry Values During Induction and",'455,'35.18066406
'59,'Text 306,"'Maintenance",'456,'57.76367188
'59,'Text 307,"'Induction Study, Week 12 of Induction",'457,'60.49804688
'59,'Table 16,"",'458,'96.53320313
'59,'Title 16,"'Maintenance Study, Week 52 of Maintenance",'459,'44.26269531
'59,'Table 17,"",'460,'96.38671875
'59,'Text 308,"'CI, confidence interval; IV, intravenous; LS, least squares; Obs, observed.",'461,'77.34375000
'59,'Footer 58,"'© 2024 American Medical Association. All rights reserved.",'462,'88.96484375
'60,'Text 309,"'eTable 10. Summary of Treatment-Emergent Adverse Events Through Week 52 of Maintenance for All Patients Who Responded to 12-Week Risankizumab 1200 mg Intravenous Induction Therapy and Were Randomized to Maintenance",'463,'81.39648438
'60,'Table 18,"",'464,'98.43750000
'60,'Text 310,"'Reported here are maintenance safety outcomes at week 52 for all patients who received risankizumab 1200 mg or placebo during induction and were randomized to maintenance. Treatment groups were named according to treatments received during induction/maintenance.",'465,'94.67773438
'60,'Text 311,"'As assessed by study investigator. ᵇNo active tuberculosis, malignancies, adjudicated MACE, serious hypersensitivity, or adjudicated anaphylactic reactions occurred in any treatment group.",'466,'25.34179688
'60,'Text 312,"'AE, Adverse event; COVID-19, coronavirus disease 2019; E, event; IV, intravenous; MACE, major adverse cardiovascular event; PY, patient year; SC, subcutaneous.",'467,'73.24218750
'60,'Footer 59,"'© 2024 American Medical Association. All rights reserved.",'468,'65.33203125
'61,'Text 313,"'eResults 1. Results for the Dose-Ranging Phase 2b Induction Substudy",'469,'74.60937500
'61,'Section header 18,"'Patient Characteristics",'470,'93.45703125
'61,'Text 314,"'For the dose-ranging, placebo-controlled phase 2b induction substudy, 240 patients were enrolled and randomized to receive risankizumab 600 mg (n = 61), 1200 mg (n = 61), 1800 mg (n = 58), or placebo (n = 60) IV at weeks 0, 4, or 8. High completion rates across treatment groups (risankizumab 600 mg, 90.2%; 1200 mg, 95.1%; 1800 mg, 98.3%; placebo, 88.3%) were seen for the 12-week induction substudy (eFigure 2). A total of 17 patients discontinued (10 patients in the risankizumab treatment groups and 7 patients treated with placebo) prior to week 12. Baseline characteristics and patient demographics were similar across treatment groups (eTable 1). Mean duration of disease was 9.7 ± 6.9 years across all treatments, with 100% of the patients being advanced therapy-inadequate response.",'471,'99.16992188
'61,'Section header 19,"'Efficacy Outcomes",'472,'93.21289063
'61,'Text 315,"'Following the prespecified MCP-Mod analysis, no prespecified dose-response models were statistically significant. However, in the pairwise comparisons, patients treated with risankizumab achieved numerically higher rates of clinical remission per Adapted Mayo score at week 12 compared with placebo, with all risankizumab groups achieving nominal significance (pairwise P ≤ .1) (eFigure 3A). Clinical remission was achieved by 7 patients (11.5%) treated with 600 mg; 6 patients (9.8%) treated with 1200 mg, and 6 patients (10.3%) treated with 1800 mg, compared with 1 patient (1.7%) treated with placebo IV (eFigure 3A).",'473,'97.55859375
'61,'Text 316,"'Numerical improvements compared with placebo were observed for clinically relevant secondary endpoints with nominal P≤.1 (eFigure 3B-F). Patients receiving any risankizumab dose had improved clinical response (per Adapted Mayo score and Partial Adapted Mayo score) by week 4 compared to placebo and maintained these improvements through week 12 (eFigure 3B-D).",'474,'95.41015625
'61,'Text 317,"'Endoscopic improvement in patients treated with risankizumab 600 mg (24.6%), 1200 mg (13.1%), and 1800 mg (15.5%) were numerically higher compared with placebo-treated patients (5.0%, nominal P ≤ .1), (eFigure 3E). A numerically higher proportion of patients were observed in endoscopic remission with risankizumab 600 mg (8.2%), 1200 mg (4.9%), and 1800 mg (8.6%) compared with placebo (0%, P .1), (eFigure 3F).",'475,'96.19140625
'61,'Footer 60,"'© 2024 American Medical Association. All rights reserved.",'476,'81.98242188
'62,'Text 318,"'Reductions in inflammatory biomarkers, hs-CRP and FCP, were observed by week 4 and maintained to week 12, in patients treated with any risankizumab dose compared to placebo (eFigure 3G-H). Serum IL- 22 levels were significantly decreased from baseline in all dose groups compared with placebo at week 12 (P ≤ .001, all comparisons), (eFigure 31).",'477,'88.03710938
'62,'Text 319,"'Patients enrolled in the open-label phase 2b period (n = 340) were treated with risankizumab 1800 mg, with 46.2% achieving clinical response per Adapted Mayo score at induction week 12 and randomized to the maintenance primary efficacy analysis.",'478,'90.13671875
'62,'Section header 20,"'Safety Outcomes",'479,'91.50390625
'62,'Text 320,"'Total adverse events and serious adverse events were reported at comparable rates among patients treated with risankizumab 600 mg (57.8% and 9.4%, respectively), 1200 mg (44.3% and 6.6%), 1800 mg (48.2% and 5.4%), and placebo (62.7% and 10.2%) (eTable 2). In the risankizumab groups, lower proportions of patients reported severe adverse events and adverse events leading to study drug discontinuation compared with placebo-treated patients. There were no dose-dependent patterns across the risankizumab groups in any adverse event categories. The most frequently reported adverse events were worsening of ulcerative colitis, nasopharyngitis, and headache. No patients in the risankizumab groups reported malignancy, serious hypersensitivity, adjudicated anaphylactic reaction, adjudicated MACE, or active tuberculosis. No serious hepatic events were reported or resulted in study drug discontinuation. The majority of hepatic events represented laboratory abnormalities and were found to have no reasonable possibility of being related to study drug, as assessed by the investigator. There were no deaths reported.",'480,'97.50976563
'62,'Footer 61,"'© 2024 American Medical Association. All rights reserved.",'481,'89.84375000
'63,'Text 321,"'eResults 2. Additional Safety and Efficacy Outcomes for the Phase 3 Induction and Maintenance Study",'482,'42.52929688
'63,'Text 322,"'Changes in Liver Enzymes for the 12-Week Induction and 52-Week Maintenance Periods",'483,'75.92773438
'63,'Text 323,"'Rates for hepatic events were numerically higher in the risankizumab 360 mg group in comparison with the risankizumab 180 mg and withdrawal treatment groups with no serious hepatic events across treatment groups (Table 4, eTable 7). The majority of hepatic events were liver test increases. No elevations in liver chemistry met the criteria for Hy's Law without other cause to explain the hepatic laboratory abnormalities in either the induction or maintenance studies (eTable 8). Changes in liver enzymes and chemistry were assessed as not clinically meaningful for either trial (eTables 8-9).",'484,'98.29101563
'63,'Text 324,"'Efficacy and Safety Outcomes for All Patients Who Responded to 12-Week Risankizumab 1200 mg Induction Therapy and Were Randomized to Maintenance",'485,'56.39648438
'63,'Text 325,"'Efficacy analysis was performed for all patients who received risankizumab 1200 mg for only one period of 12 weeks during the phase 2b/3 induction substudies who achieved clinical response and then were randomized to the 52-week maintenance period. Despite there being a smaller sample size, patients treated with risankizumab 360 mg achieved significantly higher rates of clinical remission compared with patients in the placebo SC group (44.6% vs. 27.8%, adjusted treatment difference: 18.3%; P ≤ .001) at week 52 of maintenance (eTable 4). No difference was found for clinical remission in patients treated with the risankizumab 180 mg dose compared with placebo SC treatment. Patients treated with either risankizumab 180 mg or 360 mg achieved significance versus placebo for several clinical, endoscopic, and patient- reported outcomes.",'486,'97.16796875
'63,'Text 326,"'Analysis for safety outcomes was performed for all patients who received risankizumab 1200 mg for only one period of 12 weeks during the phase 3 induction substudy 2 and were randomized to maintenance. Total adverse events were similar for all treatment groups. Higher rates of serious and severe adverse events were observed in patients treated with placebo SC (8.9%, 6.7%), compared with risankizumab 180 mg (5.6%, 1.1%) or 360 mg (0%, 0%) (eTable 10). The most frequent adverse events with ≥ 10% in any treatment group were COVID-19 and colitis ulcerative. Serious infections occurred at generally similar rates in patients who received risankizumab 180 mg or placebo SC. No serious infections were observed in",'487,'95.55664063
'63,'Footer 62,"'© 2024 American Medical Association. All rights reserved.",'488,'84.22851563
'64,'Text 327,"'patients treated with risankizumab 360 mg. No deaths, active tuberculosis, opportunistic infections (excluding tuberculosis and herpes zoster), malignancies, adjudicated MACE, serious hypersensitivity, or adjudicated hypersensitivity occurred in any of the treatment groups.",'489,'93.31054688
'64,'Section header 21,"'Patient Narratives",'490,'84.03320313
'64,'Text 328,"'One Nontreatment-Emergent Death Due to Adenocarcinoma of the Colon (Risankizumab 360 mg SC Group)",'491,'65.03906250
'64,'Text 329,"'A 62-year-old female was diagnosed with adenocarcinoma of the colon based on histopathology from the screening endoscopy for the induction study, which was noted later by the central reader.",'492,'75.63476563
'64,'Text 330,"'The patient was a clinical responder to the 12-week risankizumab IV induction treatment and rolled over into the maintenance trial. During the maintenance study, the results from the screening biopsy were received from the blinded central reader, and a serious adverse event of adenocarcinoma was documented on day 36, with discontinuation of the study drug. The patient died due to adenocarcinoma on day 539, more than a year after the 140-day follow-up call. The investigator assessed the event of adenocarcinoma as not related to the study drug because the histopathology finding was from the screening endoscopy.",'493,'93.26171875
'64,'Text 331,"'One Invasive Ductal Breast Carcinoma (Risankizumab 360 mg SC Group)",'494,'46.09375000
'64,'Text 332,"'A 48-year-old female with a history of a breast lump and prior exposure to infliximab, adalimumab, and vedolizumab experienced a serious event of invasive ductal breast carcinoma of the left breast on day 187. The diagnosis was confirmed by PET CT and MRI. The study drug was discontinued and a lumpectomy and sentinel lymph node biopsy were performed. The investigator assessed the event as having no reasonable possibility of being related to the study drug.",'495,'95.26367188
'64,'Footer 63,"'© 2024 American Medical Association. All rights reserved.",'496,'87.98828125
'65,'Header 3,"'eResults 3. Pharmacokinetics and Immunogenicity Results From Induction and Maintenance Studies",'497,'61.76757813
'65,'Text 333,"'Following dosing of IV risankizumab 1200 mg at weeks 0, 4, and 8 during induction, risankizumab exposures reached a geometric mean trough concentration of 101 µg/mL at week 12. During maintenance, generally, dose-proportional risankizumab exposures were observed between the 180 mg and 360 mg doses across the time course of the studies, reaching geometric mean concentrations of 9.6 µg/mL and 23.6 µg/mL at week 52, respectively.",'498,'98.38867188
'65,'Text 334,"'In evaluable patients who received 12-weeks of IV risankizumab induction therapy, the incidence of treatment-emergent anti-drug antibodies and neutralizing antibodies to risankizumab was 1.7% (n = 11/642) and 0.8% (n = 5/642), respectively. In evaluable patients who received 12 weeks of risankizumab 1200 mg induction followed by the maintenance regimen of 180 or 360 mg for up to 64 weeks of exposure, treatment- emergent anti-drug and neutralizing antibodies were detected in 8.9% (n = 8/90) and 6.7% (n=6/90) for the 180 mg dose, or 4.4% (n = 4/91) and 2.2% (n = 2/91) for the 360 mg dose, of evaluated patients, respectively.",'499,'97.65625000
'65,'Text 335,"'The time to the first appearance of treatment-emergent anti-drug antibodies ranged from 4.0 to 42.0 weeks following the first risankizumab treatment during induction, and from 15.3 to 53.1 weeks for the risankizumab 360 mg group and from 15.7 to 48.1 weeks for the risankizumab 180 mg group during maintenance. No apparent impact of anti-drug antibodies on risankizumab exposure, efficacy, or safety (injection site reactions and hypersensitivity reactions) was observed.",'500,'96.67968750
'65,'Footer 64,"'© 2024 American Medical Association. All rights reserved.",'501,'93.31054688
'66,'Title 17,"'eReferences",'502,'37.20703125
'66,'List 16,"",'503,'91.11328125
'66,'Text 336 - Part of List 16,"'1. Bretz F, Pinheiro JC, Branson M. Combining multiple comparisons and modeling techniques in dose- response studies. Biometrics. Sep 2005;61(3):738-48. doi:10.1111/j.1541-0420.2005.00344.x",'504,'96.58203125
'66,'Text 337 - Part of List 16,"'2. Pinheiro J, Bornkamp B, Bretz F. Design and analysis of dose-finding studies combining multiple comparisons and modeling procedures. J Biopharm Stat. 2006;16(5):639-56.",'505,'93.94531250
'66,'Text 338 - Part of List 16,"'doi:10.1080/10543400600860428",'506,'67.82226563
'66,'Text 339 - Part of List 16,"'3. Lon HK, Cheng L, Nudurupati S, et al. Pharmacokinetic Comparability of Risankizumab Formulations in Prefilled Syringe and Auto-injector for Subcutaneous Injection. Clin Ther. Mar 2021;43(3):629-636. doi:10.1016/j.clinthera.2021.01.009",'507,'97.11914063
'66,'Footer 65,"'© 2024 American Medical Association. All rights reserved.",'508,'93.06640625
